Country,Captive,Wild,Total
Antarctica,0,2,2
Antigua and Barbuda,0,8,8
Argentina,22,67,89
Armenia,8,4,12
Aruba,1,2,3
Australia,46,520,566
Austria,25,46,71
Azerbaijan,1,2,3
Bahamas,8,27,35
Bahrain,19,0,19
Barbados,13,3,16
Belarus,5,1,6
Belgium,600,24,624
Belize,1,7,8
Benin,1,3,4
Bermuda,3,9,12
Brazil,17,27,44
British Indian Ocean Territory,0,2,2
Bulgaria,3,0,3
Burundi,0,1,1
Cambodia,4,2,6
Cameroon,1,6,7
Canada,109,277,386
Cayman Islands,1,1,2
Chad,0,2,2
Chile,3,3,6
China,88,81,169
Colombia,13,9,22
Comoros,0,1,1
Congo,0,6,6
Cook Islands,0,15,15
Costa Rica,3,2,5
Croatia,4,5,9
Cote d'Ivoire,0,8,8
Cuba,29,7,36
Curaçao,0,10,10
Czech Rep.,238,2,240
Dem. Rep. of Congo,0,22,22
Denmark,83,20,103
Dominica,0,1,1
Dominican Rep.,1,10,11
Ecuador,0,1,1
Egypt,4,0,4
El Salvador,22,1,23
Eq. Guinea,0,1,1
Estonia,1,1,2
Ethiopia,0,6,6
Falkland Islands,0,3,3
Federated States of Micronesia,26,2,28
Fiji,1,196,197
Finland,2,5,7
France,394,616,1010
French Polynesia,0,8,8
Gabon,0,5,5
Georgia,0,2,2
Germany,460,193,653
Ghana,6,15,21
Greece,6,13,19
Greenland,0,77,77
Guernsey,10,0,10
Guyana,0,254,254
Haiti,1,2,3
Honduras,0,2,2
Hong Kong,173,193,366
Hungary,4,1,5
Iceland,1,0,1
India,2,4,6
Indonesia,1568,1449,3017
Iran,2,0,2
Iraq,1,1,2
Ireland,2,4,6
Israel,7,1,8
Italy,829,1177,2006
Jamaica,0,3,3
Japan,44,125,169
Jersey,23,3,26
Jordan,11,0,11
Kazakhstan,9,6,15
Kenya,47,8,55
Kuwait,111,28,139
Kyrgyzstan,0,6,6
Lao PDR,2,0,2
Latvia,9,0,9
Lebanon,24,8,32
Liberia,0,2,2
Lithuania,3,4,7
Luxembourg,8,28,36
Macau,5,10,15
Macedonia,13,0,13
Madagascar,0,72,72
Malaysia,42,119,161
Maldives,0,1,1
Mali,26,12,38
Malta,3,0,3
Marshall Islands,8,4,12
Mauritius,10,4,14
Mexico,20,57,77
Monaco,74,88,162
Mongolia,0,15,15
Morocco,8,4,12
Mozambique,27,5,32
Myanmar,0,1,1
Nambia,11,43,54
Nepal,0,7,7
Netherlands,528,128,656
New Caledonia,1,0,1
New Zealand,12,14,26
Nicaragua,7,14,21
Norway,16,24,40
Oman,53,35,88
Pakistan,1,19,20
Palau,23,8,31
Panama,0,12,12
Papua New Guinea,0,8,8
Paraguay,0,1,1
Peru,17,54,71
Philippines,143,26,169
Poland,6,1,7
Portugal,51,20,71
Qatar,69,17,86
Romania,1,12,13
Russia,17,63,80
Saint Barthélemy,0,1,1
Saint Helena and Dependencies,0,4,4
Saint Kitts and Nevis,1,2,3
Saint Lucia,0,1,1
Saint Vincent and the Grenadines,0,1,1
San Marino,6,11,17
Saudi Arabia,7,8,15
Senegal,2,17,19
Serbia,11,2,13
Seychelles,9,5,14
Singapore,255,201,456
Slovakia,8,0,8
Slovenia,11,10,21
Solomon Islands,3,43,46
South Africa,186,100,286
South Georgia and the South Sandwich Islands,0,3,3
Korea,33,47,80
Spain,291,163,454
Sri Lanka,7,6,13
Sudan,10,3,13
Suriname,4,82,86
Sweden,33,8,41
Switzerland,178,239,417
Syria,10,0,10
Taiwan,61,28,89
Tajikstan,0,2,2
Tanzania,9,15,24
Thailand,30,10,40
Togo,14,5,19
Tokelau,0,1,1
Tonga,27,104,131
Trinidad and Tobago,13,0,13
Tunisia,11,7,18
Turkey,47,83,130
Turks and Caicos Islands,0,4,4
Uganda,0,15,15
Ukraine,18,4,22
United Arab Emirates,119,92,211
United Kingdom,187,138,325
United States,509,623,1132
Unknown,5,4,9
Uruguay,13,12,25
Uzbekistan,40,14,54
Vanuatu,0,1,1
Venezuela,9,0,9
Vietnam,27,25,52
Virgin Islands,1,2,3
Zambia,12,3,15
Zimbabwe,1,16,17
